MP name	Nature of membership	State	Constituency	Political party	Gender	Educational qualifications	Age	Debates	Questions	Attendance	State's Debates average	State's Private Member Bills  average	State's Questions average	State's Attendance average
Badri Ram Jakhar	Elected	Rajasthan	Pali	Indian National Congress	Male	Under Matric	59	16	343	89%	37.1	0.8	207	88%
Badruddin Ajmal	Elected	Assam	Dhubri	Assam United Democratic Front	Male	Post Graduate	62	22	196	52%	16.2	0.5	59	81%
Baidyanath Prasad Mahto	Elected	Bihar	Valmiki Nagar	Janata Dal (United)	Male	Matric	65	20	228	91%	34.8	0.5	235	87%
Baijayant Jay Panda	Elected	Orissa	Kendrapara	Biju Janata Dal	Male	Graduate	48	12	699	63%	27.4	0.6	279	76%
Baju Ban Riyan	Elected	Tripura	Tripura East	Communist Party of India (Marxist)	Male	Graduate	71	6	0	84%	18	0.5	100	79%
Bal Kumar Patel	Elected	Uttar Pradesh	Mirzapur	Samajwadi Party	Male	Inter/ Higher Secondary	48	8	205	84%	33.3	0.4	178	80%
Baliram	Elected	Uttar Pradesh	Lalganj	Bahujan Samaj Party	Male	Doctorate	58	37	256	93%	33.3	0.4	178	80%
Baliram Kashyap	Elected	Chhattisgarh	Bastar	Bharatiya Janata Party	Male	Under Matric	76	0	0	1%	5	0	51	64%
Balkrishna Khanderao Shukla	Elected	Gujarat	Vadodara	Bharatiya Janata Party	Male	Post Graduate	48	20	186	72%	30.1	1	276	80%
Bansagopal Chowdhury	Elected	West Bengal	Asansol	Communist Party of India (Marxist)	Male	Graduate	52	24	27	69%	34.8	0.8	135	72%
Bapiraju Kanumuri	Elected	Andhra Pradesh	Narsapuram	Indian National Congress	Male	Inter/ Higher Secondary	65	7	0	91%	15.2	0.4	257	70%
Basori Singh Masram	Elected	Madhya Pradesh	Mandla	Indian National Congress	Male	Under Matric	66	1	10	85%	34.5	0.1	174	83%
Basudeb Acharia	Elected	West Bengal	Bankura	Communist Party of India (Marxist)	Male	Post Graduate	70	117	174	88%	34.8	0.8	135	72%
Beni Prasad Verma	Elected	Uttar Pradesh	Gonda	Indian National Congress	Male	Graduate	71	2	0	99%	15.4	0.2	78	80%
Bhajan Lal	Elected	Haryana	Hisar	Haryana Janhit Congress	Male	Inter/ Higher Secondary	81	0	0	39%	3.9	0	63	69%
Bhakta Charan Das	Elected	Orissa	Kalahandi	Indian National Congress	Male	Graduate	53	39	184	89%	27.4	0.6	279	76%
Bharat Ram Meghwal	Elected	Rajasthan	Ganganagar	Indian National Congress	Male	Graduate	56	13	150	91%	37.1	0.8	207	88%
Bharatsinh Madhavsinh Solanki	Elected	Gujarat	Anand	Indian National Congress	Male	Graduate	58	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bhartruhari Mahtab	Elected	Orissa	Cuttack	Biju Janata Dal	Male	Post Graduate	54	182	231	93%	27.4	0.6	279	76%
Bhavana Pundlikrao Gawali Patil	Elected	Maharashtra	Yavatmal-Washim	Shiv Sena	Female	Graduate	40	15	257	68%	21	1.2	354	74%
"Bhismashankar, Alias Kushal Tiwari"	Elected	Uttar Pradesh	Sant Kabir Nagar	Bahujan Samaj Party	Male	Inter/ Higher Secondary	51	33	352	79%	33.3	0.4	178	80%
Bhola Singh	Elected	Bihar	Nawada	Bharatiya Janata Party	Male	Doctorate	77	84	273	94%	34.8	0.5	235	87%
Bhoopendra Singh	Elected	Madhya Pradesh	Sagar	Bharatiya Janata Party	Male	Graduate	52	22	451	76%	34.5	0.1	174	83%
Bhudeo Choudhary	Elected	Bihar	Jamui	Janata Dal (United)	Male	Graduate	52	25	293	87%	34.8	0.5	235	87%
Bibhu Prasad Tarai	Elected	Orissa	Jagatsinghpur	Communist Party of India	Male	Post Graduate	48	16	169	84%	27.4	0.6	279	76%
Bijoy Krishna Handique	Elected	Assam	Jorhat	Indian National Congress	Male	Post Graduate	77	0	1	90%	7.9	0.3	28	81%
Bijoya Chakravarty	Elected	Assam	Gauhati	Bharatiya Janata Party	Female	Post Graduate	72	30	43	86%	16.2	0.5	59	81%
Biren Singh Engti	Elected	Assam	Autonomous District	Indian National Congress	Male	Post Graduate	67	1	0	95%	16.2	0.5	59	81%
Bishnu Pada Ray	Elected	Andaman and Nicobar Islands	Andaman and Nicobar Islands	Bharatiya Janata Party	Male	Graduate	62	68	169	76%	68	1	169	76%
Brij Bhushan Sharan Singh	Elected	Uttar Pradesh	Kaiserganj	Samajwadi Party	Male	Post Graduate	55	19	155	87%	33.3	0.4	178	80%
C. L. Ruala	Elected	Mizoram	Mizoram	Indian National Congress	Male	Post Graduate	76	2	10	97%	2	0	10	97%
C. M. Chang	Elected	Nagaland	Nagaland	Nagaland People's Front	Male	Graduate	69	1	32	92%	1	0	32	92%
C. P. Joshi	Elected	Rajasthan	Bhilwara	Indian National Congress	Male	Doctorate	62	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C. R. Patil	Elected	Gujarat	Navsari	Bharatiya Janata Party	Male	Certificate Course	57	18	307	84%	30.1	1	276	80%
C. Rajendran	Elected	Tamil Nadu	Chennai South	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	52	30	242	71%	34.2	0.2	261	73%
C. Sivasami	Elected	Tamil Nadu	Tiruppur	All India Anna Dravida Munnetra Kazhagam	Male	Post Graduate	55	47	455	68%	34.2	0.2	261	73%
Chandra Sekhar Kalva Kuntla Rao	Elected	Andhra Pradesh	Mahabubnagar	Telangana Rashtra Samithi	Male	Post Graduate	58	2	0	10%	15.2	0.4	257	70%
Chandrakant Bhaurao Khaire	Elected	Maharashtra	Aurangabad	Shiv Sena	Male	Graduate	60	31	533	70%	21	1.2	354	74%
Chandresh Kumari Katoch	Elected	Rajasthan	Jodhpur	Indian National Congress	Female	Under Graduate	68	5	41	78%	37.1	0.8	207	88%
Chandu Lal Sahu	Elected	Chhattisgarh	Mahasamund	Bharatiya Janata Party	Male	Graduate	53	12	57	83%	9.6	0.3	120	64%
Charan Das Mahant	Elected	Chhattisgarh	Korba	Indian National Congress	Male	Doctorate	57	15	132	93%	5.8	0.3	55	64%
Chaudhary Lal Singh	Elected	Jammu and Kashmir	Udhampur	Indian National Congress	Male	Graduate	53	71	218	87%	35.4	0	84	89%
Chinta Mohan	Elected	Andhra Pradesh	Tirupati	Indian National Congress	Male	Graduate	57	3	18	79%	15.2	0.4	257	70%
Choudhury Mohan Jatua	Elected	West Bengal	Mathurapur	All India Trinamool Congress	Male	Post Graduate	74	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D. Napoleon	Elected	Tamil Nadu	Perambalur	Dravida Munnetra Kazhagam	Male	Graduate	48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D.B. Chandre Gowda	Elected	Karnataka	Bangalore North	Bharatiya Janata Party	Male	Post Graduate	76	7	482	61%	14.4	0.2	243	70%
D.V. Sadananda Gowda	Elected	Karnataka	Udupi Chikmagalur	Bharatiya Janata Party	Male	Graduate	59	17	72	42%	9.9	0.2	181	70%
Daggubati Purandeswari	Elected	Andhra Pradesh	Visakhapatnam	Indian National Congress	Female	Graduate	53	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Danapal Venugopal	Elected	Tamil Nadu	Tiruvannamalai	Dravida Munnetra Kazhagam	Male	Inter/ Higher Secondary	80	24	5	65%	34.2	0.2	261	73%
Dara Singh Chauhan	Elected	Uttar Pradesh	Ghosi	Bahujan Samaj Party	Male	Graduate	49	99	81	92%	33.3	0.4	178	80%
Darshana Vikram Jardosh	Elected	Gujarat	Surat	Bharatiya Janata Party	Female	Graduate	51	44	212	90%	30.1	1	276	80%
Datta Raghobaji Meghe	Elected	Maharashtra	Wardha	Indian National Congress	Male	Graduate	75	47	222	89%	21	1.2	354	74%
Davidson J. Helen	Elected	Tamil Nadu	Kanniyakumari	Dravida Munnetra Kazhagam	Female	Post Graduate	41	28	104	79%	34.2	0.2	261	73%
Dayanidhi Maran	Elected	Tamil Nadu	Chennai Central	Dravida Munnetra Kazhagam	Male	Graduate	45	0	0	70%	16.8	0.2	121	73%
Deepa Dashmunsi	Elected	West Bengal	Raiganj	Indian National Congress	Female	Post Graduate	51	9	328	78%	34.8	0.8	135	72%
Deepender Singh Hooda	Elected	Haryana	Rohtak	Indian National Congress	Male	Post Graduate	34	15	74	79%	8.7	0.1	149	69%
Deoraj Singh Patel	Elected	Madhya Pradesh	Rewa	Bahujan Samaj Party	Male	Post Graduate	43	6	79	87%	34.5	0.1	174	83%
Devendra Nagpal	Elected	Uttar Pradesh	Amroha	Rashtriya Lok Dal	Male	Graduate	41	9	36	54%	33.3	0.4	178	80%
Devidhan Besra	Elected	Jharkhand	Rajmahal	Bharatiya Janata Party	Male	Matric	72	2	0	68%	25.9	0.8	185	65%
Devji Patel	Elected	Rajasthan	Jalore	Bharatiya Janata Party	Male	Matric	35	72	283	78%	37.1	0.8	207	88%
Dhananjay Singh	Elected	Uttar Pradesh	Jaunpur	Bahujan Samaj Party	Male	Post Graduate	37	32	152	65%	33.3	0.4	178	80%
Dharmendra Yadav	Elected	Uttar Pradesh	Badaun	Samajwadi Party	Male	Post Graduate	33	18	601	76%	33.3	0.4	178	80%
Dhruva Narayana Rangaswamy	Elected	Karnataka	Chamrajanagar	Indian National Congress	Male	Post Graduate	51	50	418	80%	14.4	0.2	243	70%
Digvijay Singh	Elected	Bihar	Banka	Independent	Male	Post Graduate	56	2	0	77%	10.9	0.2	64	87%
Dilip Kumar Mansukhlal Gandhi	Elected	Maharashtra	Ahmednagar	Bharatiya Janata Party	Male	Matric	61	24	171	67%	21	1.2	354	74%
Dilip Singh Ju Dev	Elected	Chhattisgarh	Bilaspur	Bharatiya Janata Party	Male	Post Graduate	70	2	189	62%	9.6	0.3	120	64%
Dimple Yadav	Elected	Uttar Pradesh	Kannauj	Samajwadi Party	Female	Graduate	34	0	0	50%	1.2	0	17	80%
Dinesh Chandra Yadav	Elected	Bihar	Khagaria	Janata Dal (United)	Male	Diploma Course	62	35	311	91%	34.8	0.5	235	87%
Dinesh Kashyap	Elected	Chhattisgarh	Bastar	Bharatiya Janata Party	Male	Others	42	0	6	53%	3.8	0	65	64%
Dinesh Trivedi	Elected	West Bengal	Barrackpur	All India Trinamool Congress	Male	Post Graduate	62	0	0	55%	6.9	0.1	28	72%
Dinsha J. Patel	Elected	Gujarat	Kheda	Indian National Congress	Male	Matric	75	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dip Gogoi	Elected	Assam	Kaliabor	Indian National Congress	Male	Graduate	60	0	0	79%	16.2	0.5	59	81%
Dudhgaonkar Ganeshrao Nagorao	Elected	Maharashtra	Parbhani	Shiv Sena	Male	Graduate	66	37	291	89%	21	1.2	354	74%
Dushyant Singh	Elected	Rajasthan	Jhalawar-Baran	Bharatiya Janata Party	Male	Post Graduate	38	24	304	78%	37.1	0.8	207	88%
E. Ahamed	Elected	Kerala	Malappuram	Muslim League Kerala State Committee	Male	Graduate	74	N/A	N/A	N/A	N/A	N/A	N/A	N/A
E. T. Mohammed Basheer	Elected	Kerala	Ponnani	Muslim League Kerala State Committee	Male	Inter/ Higher Secondary	66	45	135	77%	50.6	1.1	299	84%
E.G. Sugavanam	Elected	Tamil Nadu	Krisnagiri	Dravida Munnetra Kazhagam	Male	Diploma Course	54	17	614	57%	34.2	0.2	261	73%
Eknath Mahadeo Gaikwad	Elected	Maharashtra	Mumbai-South-Central	Indian National Congress	Male	Under Graduate	72	7	724	98%	21	1.2	354	74%
Farooq Abdullah	Elected	Jammu and Kashmir	Srinagar	Jammu and Kashmir National Conference	Male	Graduate	74	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Feroze Varun Gandhi	Elected	Uttar Pradesh	Pilibhit	Bharatiya Janata Party	Male	Graduate	32	2	499	70%	33.3	0.4	178	80%
Francisco Sardinha	Elected	Goa	South Goa	Indian National Congress	Male	Graduate	66	13	185	94%	20.5	0.5	150	87%
G.V. Harsha Kumar	Elected	Andhra Pradesh	Amalapuram	Indian National Congress	Male	Post Graduate	53	3	34	82%	15.2	0.4	257	70%
Gaddam Vivekanand	Elected	Andhra Pradesh	Peddapalle	Indian National Congress	Male	Graduate	54	8	57	66%	15.2	0.4	257	70%
Gadhvi Mukeshkumar Bhairavdanji	Elected	Gujarat	Banaskantha	Indian National Congress	Male	Graduate	49	5	349	83%	30.1	1	276	80%
Gajanan Dharmshi Babar	Elected	Maharashtra	Maval	Shiv Sena	Male	Under Matric	69	18	804	69%	21	1.2	354	74%
Gajendra Singh Rajukhedi	Elected	Madhya Pradesh	Dhar	Indian National Congress	Male	Graduate	47	1	104	85%	34.5	0.1	174	83%
Ganesh Singh	Elected	Madhya Pradesh	Satna	Bharatiya Janata Party	Male	Post Graduate	50	111	457	82%	34.5	0.1	174	83%
Gangasandra Siddappa Basavaraj	Elected	Karnataka	Tumkur	Bharatiya Janata Party	Male	Graduate	71	2	161	75%	14.4	0.2	243	70%
Ghansyam Anuragi	Elected	Uttar Pradesh	Jalaun	Samajwadi Party	Male	Post Graduate	39	46	256	95%	33.3	0.4	178	80%
Girija Vyas	Elected	Rajasthan	Chittorgarh	Indian National Congress	Female	Doctorate	66	18	16	89%	37.1	0.8	207	88%
Gobinda Chandra Naskar	Elected	West Bengal	Bongaon	All India Trinamool Congress	Male	Post Graduate	71	8	1	78%	34.8	0.8	135	72%
Gopal Singh Shekhawat	Elected	Rajasthan	Rajsamand	Indian National Congress	Male	Graduate	61	13	73	89%	37.1	0.8	207	88%
Gorakh Prasad Jaiswal	Elected	Uttar Pradesh	Deoria	Bahujan Samaj Party	Male	Matric	73	29	530	84%	33.3	0.4	178	80%
Goraknath Pandey	Elected	Uttar Pradesh	Bhadohi	Bahujan Samaj Party	Male	Post Graduate	61	77	108	95%	33.3	0.4	178	80%
Govind Prasad Mishra	Elected	Madhya Pradesh	Sidhi	Bharatiya Janata Party	Male	Graduate	63	30	163	94%	34.5	0.1	174	83%
Gowdar Mallikarjunappa Siddeswara	Elected	Karnataka	Davanagere	Bharatiya Janata Party	Male	Matric	60	15	639	60%	14.4	0.2	243	70%
Gurudas Dasgupta	Elected	West Bengal	Ghatal	Communist Party of India	Male	Post Graduate	75	71	411	87%	34.8	0.8	135	72%
Gurudas Kamat	Elected	Maharashtra	Mumbai-North-West	Indian National Congress	Male	Post Graduate	57	N/A	N/A	N/A	N/A	N/A	N/A	N/A
H.D. Devegowda	Elected	Karnataka	Hassan	Janata Dal (Secular)	Male	Diploma Course	79	21	0	69%	14.4	0.2	243	70%
H.D. Kumaraswamy	Elected	Karnataka	Bangalore Rural	Janata Dal (Secular)	Male	Graduate	52	2	0	38%	14.4	0.2	243	70%
Hamdullah Sayeed	Elected	Lakshadweep	Lakshadweep	Indian National Congress	Male	Graduate	30	31	377	85%	31	1	377	85%
Hansraj Gangaram Ahir	Elected	Maharashtra	Chandrapur	Bharatiya Janata Party	Male	Inter/ Higher Secondary	57	87	746	72%	21	1.2	354	74%
Hari Manjhi	Elected	Bihar	Gaya	Bharatiya Janata Party	Male	Under Matric	49	12	78	95%	34.8	0.5	235	87%
Haribhau Madhav Jawale	Elected	Maharashtra	Raver	Bharatiya Janata Party	Male	Graduate	59	36	226	84%	21	1.2	354	74%
Harin Pathak	Elected	Gujarat	Ahmedabad East	Bharatiya Janata Party	Male	Graduate	65	26	262	85%	30.1	1	276	80%
Harischandra Deoram Chavan	Elected	Maharashtra	Dindori	Bharatiya Janata Party	Male	Graduate	60	6	566	80%	21	1.2	354	74%
Harish Choudhary	Elected	Rajasthan	Barmer	Indian National Congress	Male	Post Graduate	42	45	444	89%	37.1	0.8	207	88%
Harish Rawat	Elected	Uttarakhand	Hardwar	Indian National Congress	Male	Graduate	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Harsh Vardhan	Elected	Uttar Pradesh	Maharajganj	Indian National Congress	Male	Graduate	64	37	275	80%	33.3	0.4	178	80%
Harsimrat Kaur Badal	Elected	Punjab	Bathinda	Shiromani Akali Dal	Female	Graduate	46	23	210	76%	19	0.6	127	78%
Hassan Khan	Elected	Jammu and Kashmir	Ladakh	Independent	Male	Graduate	72	14	47	94%	35.4	0	84	89%
Hemanand Biswal	Elected	Orissa	Sundargarh	Indian National Congress	Male	Inter/ Higher Secondary	72	8	195	87%	27.4	0.6	279	76%
Hukamdeo Narayan Yadav	Elected	Bihar	Madhubani	Bharatiya Janata Party	Male	Graduate	72	74	232	95%	34.8	0.5	235	87%
Ijyaraj Singh	Elected	Rajasthan	Kota	Indian National Congress	Male	Post Graduate	47	28	381	87%	37.1	0.8	207	88%
Inder Singh Namdhari	Elected	Jharkhand	Chatra	Independent	Male	Graduate	69	18	159	90%	25.9	0.8	185	65%
Inderjit Singh Rao	Elected	Haryana	Gurgaon	Indian National Congress	Male	Graduate	62	2	10	80%	8.7	0.1	149	69%
Ismail Hussain	Elected	Assam	Barpeta	Indian National Congress	Male	Post Graduate	62	0	0	94%	16.2	0.5	59	81%
J. Shantha	Elected	Karnataka	Bellary	Bharatiya Janata Party	Female	Inter/ Higher Secondary	39	10	516	60%	14.4	0.2	243	70%
J.M. Aaron Rashid	Elected	Tamil Nadu	Theni	Indian National Congress	Male	Inter/ Higher Secondary	62	39	284	64%	34.2	0.2	261	73%
Jadhav Baliram Sukur	Elected	Maharashtra	Palghar	Bahujan Vikas Aaghadi	Male	Under Matric	56	6	183	93%	21	1.2	354	74%
Jadhav Prataprao Ganpatrao	Elected	Maharashtra	Buldhana	Shiv Sena	Male	Under Graduate	51	12	282	63%	21	1.2	354	74%
Jagada Nand Singh	Elected	Bihar	Buxar	Rashtriya Janata Dal	Male	Graduate	70	63	312	94%	34.8	0.5	235	87%
Jagdambika Pal	Elected	Uttar Pradesh	Domariyaganj	Indian National Congress	Male	Post Graduate	61	155	205	93%	33.3	0.4	178	80%
Jagdish Sharma	Elected	Bihar	Jahanabad	Janata Dal (United)	Male	Graduate	61	22	368	83%	34.8	0.5	235	87%
Jagdish Singh Rana	Elected	Uttar Pradesh	Saharanpur	Bahujan Samaj Party	Male	Graduate	58	10	93	84%	33.3	0.4	178	80%
Jagdish Thakor	Elected	Gujarat	Patan	Indian National Congress	Male	Matric	55	17	218	64%	30.1	1	276	80%
Jai Prakash Agarwal	Elected	Delhi	North East Delhi	Indian National Congress	Male	Graduate	67	67	656	98%	27.5	4.3	226	96%
Jainarain Prasad Nishad	Elected	Bihar	Muzaffarpur	Janata Dal (United)	Male	Inter/ Higher Secondary	81	5	60	82%	34.8	0.5	235	87%
Jaipal Sudini Reddy	Elected	Andhra Pradesh	Chelvella	Indian National Congress	Male	Post Graduate	70	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Janardhana Swamy	Elected	Karnataka	Chitradurga	Bharatiya Janata Party	Male	Post Graduate	44	4	5	62%	14.4	0.2	243	70%
Jaswant Singh	Elected	West Bengal	Darjeeling	Bharatiya Janata Party	Male	Graduate	74	14	0	75%	34.8	0.8	135	72%
Jayant Chaudhary	Elected	Uttar Pradesh	Mathura	Rashtriya Lok Dal	Male	Post Graduate	33	34	126	84%	33.3	0.4	178	80%
Jayaram Pangi	Elected	Orissa	Koraput	Biju Janata Dal	Male	Inter/ Higher Secondary	57	4	182	71%	27.4	0.6	279	76%
Jayshreeben Kanubhai Patel	Elected	Gujarat	Mehesana	Bharatiya Janata Party	Female	Matric	53	99	336	88%	30.1	1	276	80%
Jeetendra Singh Bundela	Elected	Madhya Pradesh	Khajuraho	Bharatiya Janata Party	Male	Post Graduate	53	44	221	90%	34.5	0.1	174	83%
Jhansi Botcha Lakshmi	Elected	Andhra Pradesh	Vizianagaram	Indian National Congress	Female	Doctorate	48	120	305	91%	15.2	0.4	257	70%
Jitender Singh Malik	Elected	Haryana	Sonipat	Indian National Congress	Male	Graduate	42	8	50	63%	8.7	0.1	149	69%
Jitendra Singh	Elected	Rajasthan	Alwar	Indian National Congress	Male	Graduate	41	1	0	69%	16.8	0.5	103	88%
Jitin Prasada	Elected	Uttar Pradesh	Dhaurahra	Indian National Congress	Male	Post Graduate	38	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Jose K. Mani	Elected	Kerala	Kottayam	Kerala Congress (M)	Male	Post Graduate	47	52	398	83%	50.6	1.1	299	84%
Joseph Toppo	Elected	Assam	Tezpur	Asom Gana Parishad	Male	Inter/ Higher Secondary	58	15	115	73%	16.2	0.5	59	81%
Jyoti Dhurve	Elected	Madhya Pradesh	Betul	Bharatiya Janata Party	Female	Post Graduate	46	48	243	85%	34.5	0.1	174	83%
Jyoti Mirdha	Elected	Rajasthan	Nagaur	Indian National Congress	Female	Graduate	40	26	58	93%	37.1	0.8	207	88%
Jyotiraditya Madhavrao Scindia	Elected	Madhya Pradesh	Guna	Indian National Congress	Male	Post Graduate	41	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K. C. Venugopal	Elected	Kerala	Alappuzha	Indian National Congress	Male	Post Graduate	49	39	235	84%	23.4	0.2	153	84%
K. D. Deshmukh	Elected	Madhya Pradesh	Balaghat	Bharatiya Janata Party	Male	Graduate	63	54	147	68%	34.5	0.1	174	83%
